x,n,lx,lxn,nqx,ndx,nax,nLx,nmx
819,7,214,208,0.028037383177570097,6,3.130718088348696,1474.7843085300922,0.004068391537186994
826,7,208,206,0.009615384615384581,2,1.8110352546294166,1445.6220705092587,0.0013834874555390864
833,7,206,201,0.024271844660194164,5,2.887150981481409,1421.435754907407,0.003517570162941133
840,7,201,197,0.01990049751243783,4,1.9117759259258946,1386.6471037037036,0.0028846560810721696
847,7,197,192,0.025380710659898442,5,5.133292224537422,1369.666461122687,0.0036505237894936876
854,7,192,187,0.02604166666666663,5,3.176917432870573,1324.884587164353,0.003773913628734626
861,7,187,186,0.005347593582887722,1,6.915882523148184,1308.9158825231482,7.639910351399644e-4
868,7,186,178,0.043010752688172005,8,3.003919471932818,1270.0313557754625,0.006299057077307605
875,7,178,174,0.022471910112359605,4,2.408128298610734,1227.632513194443,0.0032583040584283104
882,7,174,170,0.02298850574712641,4,5.177312858795943,1210.709251435184,0.00330384854601414
889,7,170,164,0.03529411764705881,6,2.926981132330335,1165.561886793982,0.005147731808993619
896,7,164,159,0.030487804878048808,5,3.701471023148406,1131.507355115742,0.00441888422323914
903,7,159,155,0.02515723270440251,4,2.445108570602059,1094.7804342824084,0.003653700664299746
910,7,155,145,0.06451612903225812,10,3.1938339884256495,1046.9383398842565,0.009551660894475927
917,7,145,141,0.02758620689655178,4,3.5178413570596376,1001.0713654282386,0.0039957191246688785
924,7,141,137,0.028368794326241176,4,3.5386357118058527,973.1545428472234,0.004110344065493372
931,7,137,134,0.021897810218978075,3,2.3385919521601863,945.0157758564806,0.003174550178573537
938,7,134,132,0.014925373134328401,2,5.4269648553251955,934.8539297106504,0.0021393716562961088
945,7,132,131,0.007575757575757569,1,0.9116550925925822,917.9116550925926,0.0010894294613778784
952,7,131,129,0.01526717557251911,2,1.6668249652769305,906.3336499305539,0.0022066928665323707
959,7,129,128,0.007751937984496138,1,1.1219882291666181,897.1219882291666,0.0011146756105865879
966,7,128,124,0.03125,4,3.323299884258745,881.293199537035,0.004538784597567868
973,7,124,121,0.024193548387096753,3,3.046660686728577,856.1399820601857,0.003504099870188171
980,7,121,120,0.008264462809917328,1,5.748773148148189,845.7487731481482,0.0011823842159151816
987,7,120,117,0.025000000000000022,3,3.959221369597458,830.8776641087924,0.003610639844576674
994,7,117,116,0.008547008547008517,1,2.3190729166677784,814.3190729166678,0.0012280198674682566
1001,7,116,114,0.017241379310344862,2,2.802796487268779,803.6055929745376,0.002488783076530144
1008,7,114,113,0.00877192982456143,1,0.42089968750042317,791.4208996875004,0.0012635501544056506
1015,7,113,108,0.04424778761061943,5,3.000961694444777,771.0048084722239,0.006485043861020394
1022,7,108,106,0.01851851851851849,2,5.983695717593264,753.9673914351865,0.002652634613538093
1029,7,106,102,0.037735849056603765,4,3.4557864814817094,727.8231459259268,0.005495840606870579
1036,7,102,100,0.019607843137254943,2,6.144078958332557,712.2881579166651,0.0028078523807691775
1043,7,100,98,0.020000000000000018,2,4.99810949074174,695.9962189814835,0.0028735788291016687
1050,7,98,94,0.04081632653061229,4,3.287934259259032,671.1517370370361,0.005959904115958904
1057,7,94,89,0.05319148936170215,5,2.5181272384259046,635.5906361921295,0.007866698650495182
1064,7,89,85,0.0449438202247191,4,3.7569290972224962,610.02771638889,0.006557079117123291
1071,7,85,82,0.03529411764705881,3,2.6929967438273557,582.0789902314821,0.0051539396720141975
1078,7,82,79,0.03658536585365857,3,2.9108135262342785,561.7324405787028,0.005340620877991963
1085,7,79,75,0.05063291139240511,4,2.7922807378473635,536.1691229513895,0.007460332624119891
1092,7,75,72,0.040000000000000036,3,3.2562452932098345,513.7687358796295,0.0058392031092815815
1099,7,72,71,0.01388888888888884,1,0.872213310185316,497.8722133101853,0.0020085475213636357
1106,7,71,69,0.028169014084507005,2,2.9377023437496064,488.8754046874992,0.004091021926698169
1113,7,69,66,0.04347826086956519,3,2.773680131172265,470.3210403935168,0.006378621712288069
1120,7,66,65,0.015151515151515138,1,2.3242031481474896,457.3242031481475,0.002186632575131948
1127,7,65,60,0.07692307692307687,5,3.801009349537162,439.0050467476858,0.011389390707559918
1134,7,60,56,0.06666666666666665,4,3.0402448640047055,404.1609794560188,0.009897046482279924
1141,7,56,54,0.0357142857142857,2,4.375428009259508,386.750856018519,0.005171287843004109
1148,7,54,50,0.07407407407407407,4,4.455410011574202,367.8216400462968,0.010874835965324198
1155,7,50,47,0.06000000000000005,3,2.537592013889404,336.6127760416682,0.008912317694170467
1162,7,47,45,0.04255319148936165,2,4.394869328702725,323.78973865740545,0.0061768480010917035
1169,7,45,42,0.06666666666666665,3,2.277011523919176,300.8310345717575,0.009972375371013814
1176,7,42,41,0.023809523809523836,1,3.787485532407345,290.78748553240735,0.003438937539451137
1183,7,41,39,0.04878048780487809,2,6.895066215277211,286.7901324305544,0.0069737406341352955
1190,7,39,38,0.02564102564102566,1,4.9175701273150025,270.917570127315,0.0036911596377084735
1197,7,38,36,0.052631578947368474,2,3.27070034722351,258.541400694447,0.007735704976564538
1204,7,36,33,0.08333333333333337,3,1.7066324459881344,236.1198973379644,0.012705409556002066
1211,7,33,29,0.12121212121212122,4,3.4353543200232934,216.74141728009317,0.018455171375163764
1218,7,29,29,0,0,NA,NA,NA
1225,7,29,27,0.06896551724137934,2,1.392130439814082,191.78426087962816,0.010428384429602823
1232,7,27,27,0,0,NA,NA,NA
1239,7,27,26,0.03703703703703709,1,2.8312865740749658,184.83128657407497,0.005410339442717829
1246,7,26,25,0.038461538461538436,1,2.9151467824065094,177.9151467824065,0.005620656914742725
1253,7,25,25,0,0,NA,NA,NA
1260,7,25,25,0,0,NA,NA,NA
1267,7,25,25,0,0,NA,NA,NA
1274,7,25,25,0,0,NA,NA,NA
1281,7,25,24,0.040000000000000036,1,2.3933119212974816,170.39331192129748,0.005868774946177977
1288,7,24,24,0,0,NA,NA,NA
1295,7,24,24,0,0,NA,NA,NA
1302,7,24,24,0,0,NA,NA,NA
1309,7,24,23,0.04166666666666663,1,6.829337847221723,167.82933784722172,0.005958433804406231
1316,7,23,23,0,0,NA,NA,NA
1323,7,23,22,0.04347826086956519,1,6.0011884259267845,160.00118842592678,0.006249953577457046
1330,7,22,22,0,0,NA,NA,NA
1337,7,22,22,0,0,NA,NA,NA
1344,7,22,21,0.045454545454545414,1,4.20641917823923,151.20641917823923,0.006613475839416706
1351,7,21,19,0.09523809523809523,2,1.7471736921287402,136.49434738425748,0.01465262143324969
1358,7,19,19,0,0,NA,NA,NA
1365,7,19,19,0,0,NA,NA,NA
1372,7,19,19,0,0,NA,NA,NA
1379,7,19,17,0.10526315789473684,2,5.789173732638574,130.57834746527715,0.015316475042172147
1386,7,17,17,0,0,NA,NA,NA
1393,7,17,17,0,0,NA,NA,NA
1400,7,17,17,0,0,NA,NA,NA
1407,7,17,17,0,0,NA,NA,NA
1414,7,17,17,0,0,NA,NA,NA
